rx_id,x,y,z
RX_0000,-162.507233,-239.374191,1.800000
RX_0001,-313.182739,-317.288757,1.800000
RX_0002,63.205582,-336.315704,1.800000
RX_0003,-173.803040,509.444000,1.800000
RX_0004,-241.539703,490.233429,1.800000
RX_0005,4.956523,-206.192093,1.800000
RX_0006,-363.261383,-1.582287,1.800000
RX_0007,143.599319,-426.437195,1.800000
RX_0008,223.618042,-349.530029,1.800000
RX_0009,110.403687,469.644989,1.800000
RX_0010,-300.903961,-120.325340,1.800000
RX_0011,295.367157,-127.599365,1.800000
RX_0012,-193.519012,-402.604950,1.800000
RX_0013,224.309631,-448.512665,1.800000
RX_0014,-294.574280,57.076508,1.800000
RX_0015,-429.161530,-152.915863,1.800000
RX_0016,-152.314331,-271.542023,1.800000
RX_0017,250.722183,-0.115040,1.800000
RX_0018,-155.248047,-315.695618,1.800000
RX_0019,-474.319427,-288.603058,1.800000
RX_0020,118.266319,-232.328934,1.800000
RX_0021,82.329552,-270.381256,1.800000
RX_0022,-265.457886,66.638412,1.800000
RX_0023,158.989349,210.056091,1.800000
RX_0024,420.809174,246.679108,1.800000
RX_0025,-307.237823,221.028503,1.800000
RX_0026,301.222229,126.201035,1.800000
RX_0027,-245.907852,-2.009766,1.800000
RX_0028,171.359344,-490.518585,1.800000
RX_0029,-258.465363,378.340942,1.800000
RX_0030,-8.681181,84.649445,1.800000
RX_0031,272.059967,-276.037415,1.800000
RX_0032,-105.183212,247.962708,1.800000
RX_0033,104.044327,-345.459442,1.800000
RX_0034,-180.429642,-125.249649,1.800000
RX_0035,226.657150,-77.388092,1.800000
RX_0036,342.654236,-21.322880,1.800000
RX_0037,396.921906,291.338715,1.800000
RX_0038,-169.738434,-238.016068,1.800000
RX_0039,-99.904961,291.159302,1.800000
RX_0040,-2.013683,-188.922958,1.800000
RX_0041,-234.373917,476.157684,1.800000
RX_0042,-223.036896,-371.730072,1.800000
RX_0043,442.312836,182.018707,1.800000
RX_0044,-294.405884,209.836258,1.800000
RX_0045,-215.055420,-189.248825,1.800000
RX_0046,-138.342590,-125.936256,1.800000
RX_0047,-45.417297,202.108597,1.800000
RX_0048,251.583496,-211.289825,1.800000
RX_0049,203.482986,-473.474670,1.800000
RX_0050,128.235779,-158.449203,1.800000
RX_0051,-355.931335,-388.621918,1.800000
RX_0052,-272.782043,65.101501,1.800000
RX_0053,64.388901,259.263184,1.800000
RX_0054,261.590698,-14.730422,1.800000
RX_0055,388.385132,-400.689789,1.800000
RX_0056,-66.258087,260.985291,1.800000
RX_0057,-458.655518,-285.422089,1.800000
RX_0058,120.155045,443.189178,1.800000
RX_0059,-94.655548,218.188950,1.800000
RX_0060,106.339790,-82.138107,1.800000
RX_0061,513.459717,-264.616028,1.800000
RX_0062,-101.170776,236.780350,1.800000
RX_0063,265.452820,-251.478699,1.800000
RX_0064,-347.586914,-442.335083,1.800000
RX_0065,-280.666321,174.378326,1.800000
RX_0066,-102.623932,114.225510,1.800000
RX_0067,-23.485128,144.242661,1.800000
RX_0068,-49.608131,-93.837753,1.800000
RX_0069,-450.633148,80.693481,1.800000
RX_0070,-34.158806,-227.715683,1.800000
RX_0071,274.237854,-438.190155,1.800000
RX_0072,349.227936,451.141510,1.800000
RX_0073,344.388641,492.189575,1.800000
RX_0074,-474.549042,-2.228336,1.800000
RX_0075,485.343018,-250.330276,1.800000
RX_0076,-23.973213,132.961594,1.800000
RX_0077,-247.213928,-489.354309,1.800000
RX_0078,-450.689331,-98.835442,1.800000
RX_0079,-373.797974,203.655029,1.800000
RX_0080,19.166971,240.746338,1.800000
RX_0081,268.397430,-260.298798,1.800000
RX_0082,138.106964,260.283142,1.800000
RX_0083,-338.712738,-10.764051,1.800000
RX_0084,-184.467285,-383.338318,1.800000
RX_0085,137.253220,-233.290329,1.800000
RX_0086,-361.839752,-14.923052,1.800000
RX_0087,-234.449188,-488.557648,1.800000
RX_0088,-164.893448,404.548279,1.800000
RX_0089,-464.672485,-262.134918,1.800000
RX_0090,-143.332138,-248.827362,1.800000
RX_0091,444.258850,167.403427,1.800000
RX_0092,-29.381813,163.809723,1.800000
RX_0093,184.035416,-153.349930,1.800000
RX_0094,-110.257317,420.698212,1.800000
RX_0095,-385.652283,443.518738,1.800000
RX_0096,-164.153458,-458.185028,1.800000
RX_0097,341.656158,-414.400024,1.800000
RX_0098,394.152924,451.580414,1.800000
RX_0099,-108.551346,257.768372,1.800000
RX_0100,507.951874,-259.911438,1.800000
RX_0101,-105.014633,-11.234523,1.800000
RX_0102,288.249664,631.843567,1.800000
RX_0103,-394.305573,-261.866791,1.800000
RX_0104,-229.127975,485.358582,1.800000
RX_0105,-372.556946,-335.469696,1.800000
RX_0106,-324.671722,8.863715,1.800000
RX_0107,-278.729126,368.964783,1.800000
RX_0108,-312.520538,-365.955109,1.800000
RX_0109,348.910309,341.398895,1.800000
