rx_x,rx_y,rx_z,rss_db
93.2115,-183.1496,3.3,-78.70407
112.1458,-181.7198,3.3,-85.94812
123.1964,-118.233,3.3,-86.847855
117.2265,-137.2343,3.3,-84.430305
92.5267,-174.3533,3.3,-79.701866
82.5075,-166.0128,3.3,-80.38556
-147.5113,493.4142,3.3,-100.0
-103.4717,351.3156,3.3,-100.0
-83.1653,312.4296,3.3,-100.0
-55.1756,221.1227,3.3,-100.0
-21.4815,76.9961,3.3,-100.0
20.4931,-32.7429,3.3,-99.41119
-368.2762,439.0886,3.3,-100.0
-342.6609,351.515,3.3,-100.0
-316.4062,233.9779,3.3,-100.0
-240.5545,-20.7564,3.3,-100.0
-229.9874,-61.0203,3.3,-100.0
-246.2172,-194.8064,3.3,-93.839455
-259.499,-172.4816,3.3,-93.84193
-248.0115,-164.8701,3.3,-93.440735
-234.4481,-140.4615,3.3,-95.35021
-211.6732,-139.4956,3.3,-99.87275
32.6729,-39.7381,3.3,-99.24916
-11.768,79.6273,3.3,-100.0
-47.5975,224.265,3.3,-100.0
28.7647,-44.6275,3.3,-95.78017
42.3561,-41.407,3.3,-95.82884
50.378,-53.084,3.3,-83.9225
42.4611,-64.667,3.3,-82.47811
37.5034,-71.6696,3.3,-81.64787
29.5194,-74.8483,3.3,-82.05879
11.5697,-76.0403,3.3,-83.331024
5.2829,-63.8983,3.3,-82.75574
14.3373,-53.5218,3.3,-99.229645
17.8301,-48.6591,3.3,-95.33542
24.3022,-45.134,3.3,-94.15325
107.5988,-64.1362,3.3,-84.521935
71.4984,-46.5699,3.3,-85.83892
49.1743,-68.7291,3.3,-82.50171
79.624,-49.1691,3.3,-91.60391
106.1285,-68.3297,3.3,-85.90017
100.9288,-90.2018,3.3,-85.93651
217.4392,-72.8465,3.3,-93.04853
261.7928,-67.8439,3.3,-91.78932
281.8591,-53.4188,3.3,-92.8094
350.7726,-40.8133,3.3,-94.82554
135.4279,-482.2949,3.3,-100.0
-45.2288,-534.351,3.3,-100.0
-61.6914,-530.7718,3.3,-100.0
-198.6218,-93.6568,3.3,-96.73133
-214.5432,-38.3608,3.3,-100.0
-297.265,240.2817,3.3,-100.0
-361.6065,423.9404,3.3,-100.0
-358.5002,442.1537,3.3,-100.0
-235.3192,-137.2682,3.3,-95.35047
-247.0634,-146.8893,3.3,-93.12137
-261.7932,-153.6992,3.3,-93.19826
-261.2889,-170.426,3.3,-93.75152
-264.5266,-185.0622,3.3,-92.82754
-273.5416,-193.3641,3.3,-93.06062
165.7256,-486.3076,3.3,-100.0
373.514,-415.5844,3.3,-100.0
446.7046,-405.536,3.3,-100.0
33.78,-174.567,3.3,-74.77348
-51.0576,-207.4833,3.3,-82.41044
-154.9218,-225.1202,3.3,-97.63961
-119.8244,-237.935,3.3,-88.30433
-55.9733,-226.8028,3.3,-83.3131
-32.9286,-219.3986,3.3,-81.23942
7.6225,-210.2751,3.3,-82.130875
59.1437,-203.9342,3.3,-92.65389
-174.9209,-133.8815,3.3,-99.99852
-86.6305,-107.7675,3.3,-87.286354
-30.6147,-85.9473,3.3,-82.733604
24.7433,-82.5686,3.3,-77.7968
-258.1673,-247.5675,3.3,-90.789154
-221.1531,-266.1353,3.3,-100.0
-182.327,-279.0711,3.3,-97.504364
-183.2883,-258.1396,3.3,-90.47225
-198.0847,-262.4365,3.3,-90.74405
-218.0731,-259.4926,3.3,-99.99872
-229.7099,-240.6661,3.3,-91.61717
372.1288,-411.1052,3.3,-100.0
163.0694,-462.229,3.3,-100.0
-11.5617,-68.3144,3.3,-85.24716
-37.7023,-77.665,3.3,-81.428024
-86.6011,-78.2487,3.3,-98.74815
-187.6833,-118.78,3.3,-98.68921
-325.4719,-231.0956,3.3,-95.97017
-402.8803,-242.7981,3.3,-96.627594
-497.1268,-278.6904,3.3,-95.93363
161.2209,-469.9467,3.3,-100.0
175.2402,-475.4232,3.3,-100.0
174.4543,-486.826,3.3,-100.0
163.7056,-488.3093,3.3,-100.0
156.8816,-490.7574,3.3,-100.0
146.1652,-495.5865,3.3,-99.99999
146.655,-483.785,3.3,-99.99999
139.3503,-472.5357,3.3,-99.99999
149.3969,-471.8979,3.3,-99.99999
